id,name,number,legalities,images,prices,set_id,set_name,date
swsh35-1,Venusaur V,001/073,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh35/1.png', 'large': 'https://images.pokemontcg.io/swsh35/1_hires.png'}","{'holofoil': {'low': 1.25, 'mid': 2.44, 'high': 19.95, 'market': 2.04}}",swsh35,Champion's Path,2021-07-01 00:31:58.370502
swsh35-2,Weedle,002/073,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh35/2.png', 'large': 'https://images.pokemontcg.io/swsh35/2_hires.png'}","{'reverseHolofoil': {'low': 0.09, 'mid': 0.26, 'high': 1.19, 'market': 0.14}, 'normal': {'low': 0.01, 'mid': 0.15, 'high': 1.0, 'market': 0.07}}",swsh35,Champion's Path,2021-07-01 00:31:58.370502
swsh1-1,Celebi V,001/202,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh1/1.png', 'large': 'https://images.pokemontcg.io/swsh1/1_hires.png'}","{'holofoil': {'low': 1.25, 'mid': 2.47, 'high': 9.95, 'market': 2.08}}",swsh1,Sword & Shield,2021-07-01 00:31:58.370502
swsh4-1,Weedle,001/185,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh4/1.png', 'large': 'https://images.pokemontcg.io/swsh4/1_hires.png'}","{'normal': {'low': 0.02, 'mid': 0.15, 'high': 10.81, 'market': 0.08}, 'reverseHolofoil': {'low': 0.08, 'mid': 0.26, 'high': 10.97, 'market': 0.24}}",swsh4,Vivid Voltage,2021-07-01 00:31:58.370502
swsh35-3,Kakuna,003/073,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh35/3.png', 'large': 'https://images.pokemontcg.io/swsh35/3_hires.png'}","{'normal': {'low': 0.01, 'mid': 0.16, 'high': 1.0, 'market': 0.06}, 'reverseHolofoil': {'low': 0.1, 'mid': 0.28, 'high': 4.95, 'market': 0.21}}",swsh35,Champion's Path,2021-07-01 00:31:58.370502
swsh1-2,Roselia,002/202,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh1/2.png', 'large': 'https://images.pokemontcg.io/swsh1/2_hires.png'}","{'reverseHolofoil': {'low': 0.1, 'mid': 0.25, 'high': 1.0, 'market': 0.2}, 'normal': {'low': 0.04, 'mid': 0.16, 'high': 10.83, 'market': 0.09}}",swsh1,Sword & Shield,2021-07-01 00:31:58.370502
swsh4-2,Kakuna,002/185,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh4/2.png', 'large': 'https://images.pokemontcg.io/swsh4/2_hires.png'}","{'normal': {'low': 0.01, 'mid': 0.2, 'high': 10.84, 'market': 0.1}, 'reverseHolofoil': {'low': 0.04, 'mid': 0.25, 'high': 1.25, 'market': 0.22}}",swsh4,Vivid Voltage,2021-07-01 00:31:58.370502
swsh35-4,Beedrill,004/073,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh35/4.png', 'large': 'https://images.pokemontcg.io/swsh35/4_hires.png'}","{'reverseHolofoil': {'low': 0.03, 'mid': 0.27, 'high': 1.29, 'market': 0.22}, 'normal': {'low': 0.04, 'mid': 0.18, 'high': 2.97, 'market': 0.1}}",swsh35,Champion's Path,2021-07-01 00:31:58.370502
swsh1-3,Roselia,003/202,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh1/3.png', 'large': 'https://images.pokemontcg.io/swsh1/3_hires.png'}","{'normal': {'low': 0.02, 'mid': 0.15, 'high': 10.8, 'market': 0.1}, 'reverseHolofoil': {'low': 0.1, 'mid': 0.25, 'high': 10.88, 'market': 0.22}}",swsh1,Sword & Shield,2021-07-01 00:31:58.370502
swsh1-4,Roserade,004/202,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh1/4.png', 'large': 'https://images.pokemontcg.io/swsh1/4_hires.png'}","{'normal': {'low': 0.08, 'mid': 0.3, 'high': 10.87, 'market': 0.3}, 'reverseHolofoil': {'low': 0.25, 'mid': 0.5, 'high': 9.95, 'market': 0.45}}",swsh1,Sword & Shield,2021-07-01 00:31:58.370502
