,1
id,swsh35-2
name,Weedle
number,2
legalities,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}"
images,"{'small': 'https://images.pokemontcg.io/swsh35/2.png', 'large': 'https://images.pokemontcg.io/swsh35/2_hires.png'}"
prices,"{'reverseHolofoil': {'low': 0.05, 'mid': 0.29, 'high': 1.37, 'market': 0.24, 'directLow': 0.14}, 'normal': {'low': 0.01, 'mid': 0.13, 'high': 1.0, 'market': 0.07, 'directLow': 0.05}}"
set_id,swsh35
set_name,Champion's Path
cards_in_set,73
printed_total,80
date,2021-05-26 21:11:07.070073
