id,name,number,legalities,images,prices,set_id,set_name,date
swsh35-1,Venusaur V,001/073,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh35/1.png', 'large': 'https://images.pokemontcg.io/swsh35/1_hires.png'}","{'holofoil': {'low': 1.25, 'mid': 2.26, 'high': 19.95, 'market': 2.24}}",swsh35,Champion's Path,2021-06-03 20:20:32.344712
swsh35-2,Weedle,002/073,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh35/2.png', 'large': 'https://images.pokemontcg.io/swsh35/2_hires.png'}","{'reverseHolofoil': {'low': 0.05, 'mid': 0.29, 'high': 1.37, 'market': 0.18}, 'normal': {'low': 0.01, 'mid': 0.13, 'high': 1.0, 'market': 0.05}}",swsh35,Champion's Path,2021-06-03 20:20:32.344712
swsh1-1,Celebi V,001/202,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh1/1.png', 'large': 'https://images.pokemontcg.io/swsh1/1_hires.png'}","{'holofoil': {'low': 1.08, 'mid': 2.44, 'high': 9.95, 'market': 2.07}}",swsh1,Sword & Shield,2021-06-03 20:20:32.344712
swsh4-1,Weedle,001/185,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh4/1.png', 'large': 'https://images.pokemontcg.io/swsh4/1_hires.png'}","{'normal': {'low': 0.02, 'mid': 0.14, 'high': 10.81, 'market': 0.09}, 'reverseHolofoil': {'low': 0.08, 'mid': 0.25, 'high': 10.97, 'market': 0.24}}",swsh4,Vivid Voltage,2021-06-03 20:20:32.344712
swsh35-3,Kakuna,003/073,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh35/3.png', 'large': 'https://images.pokemontcg.io/swsh35/3_hires.png'}","{'normal': {'low': 0.01, 'mid': 0.13, 'high': 1.0, 'market': 0.06}, 'reverseHolofoil': {'low': 0.09, 'mid': 0.3, 'high': 1.99, 'market': 0.27}}",swsh35,Champion's Path,2021-06-03 20:20:32.344712
swsh1-2,Roselia,002/202,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh1/2.png', 'large': 'https://images.pokemontcg.io/swsh1/2_hires.png'}","{'reverseHolofoil': {'low': 0.1, 'mid': 0.25, 'high': 1.0, 'market': 0.22}, 'normal': {'low': 0.04, 'mid': 0.15, 'high': 10.84, 'market': 0.1}}",swsh1,Sword & Shield,2021-06-03 20:20:32.344712
swsh4-2,Kakuna,002/185,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh4/2.png', 'large': 'https://images.pokemontcg.io/swsh4/2_hires.png'}","{'normal': {'low': 0.04, 'mid': 0.18, 'high': 10.84, 'market': 0.1}, 'reverseHolofoil': {'low': 0.03, 'mid': 0.25, 'high': 1.36, 'market': 0.22}}",swsh4,Vivid Voltage,2021-06-03 20:20:32.344712
swsh35-4,Beedrill,004/073,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh35/4.png', 'large': 'https://images.pokemontcg.io/swsh35/4_hires.png'}","{'reverseHolofoil': {'low': 0.09, 'mid': 0.29, 'high': 1.99, 'market': 0.23}, 'normal': {'low': 0.03, 'mid': 0.15, 'high': 1.0, 'market': 0.08}}",swsh35,Champion's Path,2021-06-03 20:20:32.344712
swsh1-3,Roselia,003/202,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh1/3.png', 'large': 'https://images.pokemontcg.io/swsh1/3_hires.png'}","{'normal': {'low': 0.02, 'mid': 0.15, 'high': 10.84, 'market': 0.11}, 'reverseHolofoil': {'low': 0.1, 'mid': 0.29, 'high': 10.88, 'market': 0.23}}",swsh1,Sword & Shield,2021-06-03 20:20:32.344712
swsh1-4,Roserade,004/202,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh1/4.png', 'large': 'https://images.pokemontcg.io/swsh1/4_hires.png'}","{'normal': {'low': 0.08, 'mid': 0.3, 'high': 10.87, 'market': 0.27}, 'reverseHolofoil': {'low': 0.23, 'mid': 0.51, 'high': 2.0, 'market': 0.47}}",swsh1,Sword & Shield,2021-06-03 20:20:32.344712
swsh35-5,Eldegoss V,005/073,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh35/5.png', 'large': 'https://images.pokemontcg.io/swsh35/5_hires.png'}","{'holofoil': {'low': 0.9, 'mid': 1.99, 'high': 8.99, 'market': 1.85}}",swsh35,Champion's Path,2021-06-03 20:20:32.344712
swsh35-6,Vulpix,006/073,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh35/6.png', 'large': 'https://images.pokemontcg.io/swsh35/6_hires.png'}","{'reverseHolofoil': {'low': 0.01, 'mid': 0.3, 'high': 1.4, 'market': 0.28}, 'normal': {'low': 0.03, 'mid': 0.15, 'high': 1.0, 'market': 0.09}}",swsh35,Champion's Path,2021-06-03 20:20:32.344712
swsh4-3,Beedrill,003/185,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh4/3.png', 'large': 'https://images.pokemontcg.io/swsh4/3_hires.png'}","{'normal': {'low': 0.05, 'mid': 0.26, 'high': 999.99, 'market': 0.27}, 'reverseHolofoil': {'low': 0.1, 'mid': 0.36, 'high': 999.99, 'market': 0.32}}",swsh4,Vivid Voltage,2021-06-03 20:20:32.344712
swsh1-5,Cottonee,005/202,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh1/5.png', 'large': 'https://images.pokemontcg.io/swsh1/5_hires.png'}","{'reverseHolofoil': {'low': 0.06, 'mid': 0.25, 'high': 1.0, 'market': 0.22}, 'normal': {'low': 0.01, 'mid': 0.15, 'high': 10.8, 'market': 0.06}}",swsh1,Sword & Shield,2021-06-03 20:20:32.344712
swsh35-7,Victini,007/073,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh35/7.png', 'large': 'https://images.pokemontcg.io/swsh35/7_hires.png'}","{'normal': {'low': 0.02, 'mid': 0.15, 'high': 0.99, 'market': 0.08}, 'reverseHolofoil': {'low': 0.1, 'mid': 0.3, 'high': 1.53, 'market': 0.23}}",swsh35,Champion's Path,2021-06-03 20:20:32.344712
swsh4-4,Exeggcute,004/185,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh4/4.png', 'large': 'https://images.pokemontcg.io/swsh4/4_hires.png'}","{'normal': {'low': 0.03, 'mid': 0.15, 'high': 10.82, 'market': 0.07}, 'reverseHolofoil': {'low': 0.1, 'mid': 0.26, 'high': 10.88, 'market': 0.24}}",swsh4,Vivid Voltage,2021-06-03 20:20:32.344712
swsh1-6,Whimsicott,006/202,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh1/6.png', 'large': 'https://images.pokemontcg.io/swsh1/6_hires.png'}","{'normal': {'low': 0.09, 'mid': 0.25, 'high': 1.99, 'market': 0.22}, 'reverseHolofoil': {'low': 0.24, 'mid': 0.49, 'high': 9.95, 'market': 0.47}}",swsh1,Sword & Shield,2021-06-03 20:20:32.344712
swsh1-7,Maractus,007/202,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh1/7.png', 'large': 'https://images.pokemontcg.io/swsh1/7_hires.png'}","{'normal': {'low': 0.02, 'mid': 0.2, 'high': 10.83, 'market': 0.14}, 'reverseHolofoil': {'low': 0.1, 'mid': 0.29, 'high': 10.89, 'market': 0.26}}",swsh1,Sword & Shield,2021-06-03 20:20:32.344712
swsh35-8,Incineroar V,008/073,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh35/8.png', 'large': 'https://images.pokemontcg.io/swsh35/8_hires.png'}","{'holofoil': {'low': 0.9, 'mid': 1.79, 'high': 9.99, 'market': 1.56}}",swsh35,Champion's Path,2021-06-03 20:20:32.344712
swsh4-5,Exeggutor,005/185,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh4/5.png', 'large': 'https://images.pokemontcg.io/swsh4/5_hires.png'}","{'normal': {'low': 0.07, 'mid': 0.25, 'high': 1.85, 'market': 0.22}, 'reverseHolofoil': {'low': 0.03, 'mid': 0.55, 'high': 999.99, 'market': 0.46}}",swsh4,Vivid Voltage,2021-06-03 20:20:32.344712
swsh3-1,Butterfree V,001/189,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh3/1.png', 'large': 'https://images.pokemontcg.io/swsh3/1_hires.png'}","{'holofoil': {'low': 0.98, 'mid': 1.97, 'high': 15.99, 'market': 1.81}}",swsh3,Darkness Ablaze,2021-06-03 20:20:32.344712
swsh2-1,Caterpie,001/192,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh2/1.png', 'large': 'https://images.pokemontcg.io/swsh2/1_hires.png'}","{'normal': {'low': 0.04, 'mid': 0.15, 'high': 1.0, 'market': 0.1}, 'reverseHolofoil': {'low': 0.1, 'mid': 0.3, 'high': 1.16, 'market': 0.27}}",swsh2,Rebel Clash,2021-06-03 20:20:32.344712
swsh3-2,Butterfree VMAX,002/189,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh3/2.png', 'large': 'https://images.pokemontcg.io/swsh3/2_hires.png'}","{'holofoil': {'low': 2.29, 'mid': 4.42, 'high': 39.99, 'market': 4.3}}",swsh3,Darkness Ablaze,2021-06-03 20:20:32.344712
swsh4-6,Yanma,006/185,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/swsh4/6.png', 'large': 'https://images.pokemontcg.io/swsh4/6_hires.png'}","{'normal': {'low': 0.01, 'mid': 0.15, 'high': 10.79, 'market': 0.06}, 'reverseHolofoil': {'low': 0.01, 'mid': 0.25, 'high': 1.28, 'market': 0.21}}",swsh4,Vivid Voltage,2021-06-03 20:20:32.344712
