,id,name,supertype,subtypes,level,hp,types,evolvesFrom,abilities,attacks,weaknesses,resistances,retreatCost,convertedRetreatCost,set,number,artist,rarity,nationalPokedexNumbers,legalities,images,tcgplayer,evolvesTo,flavorText,rules
0,pl1-1,Ampharos,Pokémon,['Stage 2'],57,130,['Lightning'],Flaaffy,"[{'name': 'Damage Bind', 'text': ""Each Pokémon that has any damage counters on it (both yours and your opponent's) can't use any Poké-Powers."", 'type': 'Poké-Body'}]","[{'name': 'Gigavolt', 'cost': ['Lightning', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '30+', 'text': 'Flip a coin. If heads, this attack does 30 damage plus 30 more damage. If tails, the Defending Pokémon is now Paralyzed.'}, {'name': 'Reflect Energy', 'cost': ['Lightning', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '70', 'text': 'Move an Energy card attached to Ampharos to 1 of your Benched Pokémon.'}]","[{'type': 'Fighting', 'value': '+30'}]","[{'type': 'Metal', 'value': '-20'}]","['Colorless', 'Colorless']",2.0,"{'id': 'pl1', 'name': 'Platinum', 'series': 'Platinum', 'printedTotal': 127, 'total': 130, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'PL', 'releaseDate': '2009/02/11', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/pl1/symbol.png', 'logo': 'https://images.pokemontcg.io/pl1/logo.png'}}",1,Atsuko Nishida,Rare Holo,[181],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/pl1/1.png', 'large': 'https://images.pokemontcg.io/pl1/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/pl1-1', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 6.75, 'mid': 8.0, 'high': 14.98, 'market': 6.38, 'directLow': None}, 'reverseHolofoil': {'low': 13.91, 'mid': 14.0, 'high': 14.98, 'market': 2.16, 'directLow': None}}}",,,
1,det1-1,Bulbasaur,Pokémon,['Basic'],,60,['Grass'],,,"[{'name': 'Find a Friend', 'cost': ['Grass'], 'convertedEnergyCost': 1, 'damage': '', 'text': 'Search your deck for a Grass Pokémon, reveal it, and put it into your hand. Then, shuffle your deck.'}]","[{'type': 'Fire', 'value': '×2'}]",,['Colorless'],1.0,"{'id': 'det1', 'name': 'Detective Pikachu', 'series': 'Sun & Moon', 'printedTotal': 18, 'total': 18, 'legalities': {'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'DET', 'releaseDate': '2019/04/05', 'updatedAt': '2019/04/25 22:26:00', 'images': {'symbol': 'https://images.pokemontcg.io/det1/symbol.png', 'logo': 'https://images.pokemontcg.io/det1/logo.png'}}",1,MPC Film,Common,[1],"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/det1/1.png', 'large': 'https://images.pokemontcg.io/det1/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/det1-1', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 0.1, 'mid': 0.41, 'high': 9.95, 'market': 0.3, 'directLow': 0.25}}}",['Ivysaur'],A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon.,
2,mcd19-1,Caterpie,Pokémon,['Basic'],,50,['Grass'],,,"[{'cost': ['Grass'], 'name': 'Surprise Attack', 'text': 'Flip a coin. If tails, this attack does nothing.', 'damage': '20', 'convertedEnergyCost': 1}]",,,['Colorless'],1.0,"{'id': 'mcd19', 'name': ""McDonald's Collection 2019"", 'series': 'Other', 'printedTotal': 12, 'total': 12, 'legalities': {'unlimited': 'Legal'}, 'releaseDate': '2019/10/15', 'updatedAt': '2020/11/11 13:00:00', 'images': {'symbol': 'https://images.pokemontcg.io/mcd19/symbol.png', 'logo': 'https://images.pokemontcg.io/mcd19/logo.png'}}",1,Sekio,Promo,[10],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/mcd19/1.png', 'large': 'https://images.pokemontcg.io/mcd19/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/mcd19-1', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 3.0, 'mid': 4.0, 'high': 12.99, 'market': 6.39, 'directLow': None}}}",['Metapod'],,
3,dv1-1,Dratini,Pokémon,['Basic'],,40,['Dragon'],,,"[{'name': 'Wrap', 'cost': ['Grass', 'Lightning'], 'convertedEnergyCost': 2, 'damage': '20', 'text': 'Flip a coin. If heads, the Defending Pokémon is now Paralyzed.'}]","[{'type': 'Dragon', 'value': '×2'}]",,['Colorless'],1.0,"{'id': 'dv1', 'name': 'Dragon Vault', 'series': 'Black & White', 'printedTotal': 20, 'total': 20, 'legalities': {'unlimited': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'DRV', 'releaseDate': '2012/10/05', 'updatedAt': '2019/01/28 16:44:00', 'images': {'symbol': 'https://images.pokemontcg.io/dv1/symbol.png', 'logo': 'https://images.pokemontcg.io/dv1/logo.png'}}",1,Masakazu Fukuda,Rare Holo,[147],"{'unlimited': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/dv1/1.png', 'large': 'https://images.pokemontcg.io/dv1/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/dv1-1', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 0.45, 'mid': 1.0, 'high': 4.99, 'market': 1.06, 'directLow': None}}}",['Dragonair'],"It is called the ""Mirage Pokémon"" because so few have seen it. Its shed skin has been found.",
4,xy5-1,Weedle,Pokémon,['Basic'],,50,['Grass'],,,"[{'name': 'Multiply', 'cost': ['Grass'], 'convertedEnergyCost': 1, 'damage': '', 'text': 'Search your deck for Weedle and put it onto your Bench. Shuffle your deck afterward.'}]","[{'type': 'Fire', 'value': '×2'}]",,['Colorless'],1.0,"{'id': 'xy5', 'name': 'Primal Clash', 'series': 'XY', 'printedTotal': 160, 'total': 160, 'legalities': {'unlimited': 'Legal', 'expanded': 'Legal'}, 'ptcgoCode': 'PRC', 'releaseDate': '2015/02/04', 'updatedAt': '2020/05/01 16:06:00', 'images': {'symbol': 'https://images.pokemontcg.io/xy5/symbol.png', 'logo': 'https://images.pokemontcg.io/xy5/logo.png'}}",1,Midori Harada,Common,[13],"{'unlimited': 'Legal', 'expanded': 'Legal'}","{'small': 'https://images.pokemontcg.io/xy5/1.png', 'large': 'https://images.pokemontcg.io/xy5/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/xy5-1', 'updatedAt': '2021/05/13', 'prices': {'normal': {'low': 0.04, 'mid': 0.23, 'high': 1.0, 'market': 0.11, 'directLow': 0.1}, 'reverseHolofoil': {'low': 0.15, 'mid': 0.37, 'high': 1.95, 'market': 0.23, 'directLow': 0.25}}}",['Kakuna'],Its poison stinger is very powerful. Its bright-colored body is intended to warn off its enemies.,
5,ex7-1,Azumarill,Pokémon,['Stage 1'],,80,['Water'],Marill,"[{'name': 'Froth', 'text': 'Once during your turn, when you play Azumarill from your hand to evolve 1 of your Active Pokémon, you may use this power. Each Defending Pokémon is now Paralyzed.', 'type': 'Poké-Power'}]","[{'name': 'Water Punch', 'cost': ['Water', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '20+', 'text': 'Flip a coin for each Water Energy attached to Azumarill. This attack does 20 damage plus 20 more damage for each heads.'}]","[{'type': 'Lightning', 'value': '×2'}]",,['Colorless'],1.0,"{'id': 'ex7', 'name': 'Team Rocket Returns', 'series': 'EX', 'printedTotal': 109, 'total': 109, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'TRR', 'releaseDate': '2004/11/01', 'updatedAt': '2019/01/28 16:44:00', 'images': {'symbol': 'https://images.pokemontcg.io/ex7/symbol.png', 'logo': 'https://images.pokemontcg.io/ex7/logo.png'}}",1,Sumiyoshi Kizuki,Rare Holo,[184],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/ex7/1.png', 'large': 'https://images.pokemontcg.io/ex7/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/ex7-1', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 2.71, 'mid': 3.52, 'high': 40.0, 'market': 10.91, 'directLow': None}, 'reverseHolofoil': {'low': 7.0, 'mid': 9.73, 'high': 60.0, 'market': 4.26, 'directLow': None}}}",,,
6,ecard2-H1,Ampharos,Pokémon,['Stage 2'],,100,['Lightning'],Flaaffy,,"[{'name': 'Thundershock', 'cost': ['Lightning'], 'convertedEnergyCost': 1, 'damage': '20', 'text': 'Flip a coin. If heads, the Defending Pokémon is now Paralyzed.'}, {'name': 'Reflect Energy', 'cost': ['Lightning', 'Lightning', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '50', 'text': 'If you have any Benched Pokémon and if there are any basic Energy cards attached to Ampharos, take 1 of those Energy cards and attach it to 1 of those Pokémon.'}]","[{'type': 'Fighting', 'value': '×2'}]",,"['Colorless', 'Colorless']",2.0,"{'id': 'ecard2', 'name': 'Aquapolis', 'series': 'E-Card', 'printedTotal': 186, 'total': 186, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'AQ', 'releaseDate': '2003/01/15', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/ecard2/symbol.png', 'logo': 'https://images.pokemontcg.io/ecard2/logo.png'}}",H1,Shin-ichi Yoshida,Rare Holo,[181],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/ecard2/H1.png', 'large': 'https://images.pokemontcg.io/ecard2/H1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/ecard2-H1', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 100.28, 'mid': 140.98, 'high': 167.03, 'market': 141.91, 'directLow': None}}}",,,
7,ex3-1,Absol,Pokémon,['Basic'],,70,['Darkness'],,,"[{'name': 'Bad News', 'cost': ['Darkness'], 'convertedEnergyCost': 1, 'damage': '', 'text': ""If the number of cards in your opponent's hand is at least 6, choose a number of cards there, without looking, until your opponent has 5 cards left. Have your opponent discard the cards you chose.""}, {'name': 'Prize Count', 'cost': ['Darkness', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '20+', 'text': 'If you have more Prize cards left than your opponent, this attack does 20 damage plus 20 more damage.'}]","[{'type': 'Fighting', 'value': '×2'}]","[{'type': 'Psychic', 'value': '-30'}]",['Colorless'],1.0,"{'id': 'ex3', 'name': 'Dragon', 'series': 'EX', 'printedTotal': 97, 'total': 97, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'DR', 'releaseDate': '2003/09/18', 'updatedAt': '2019/01/28 16:44:00', 'images': {'symbol': 'https://images.pokemontcg.io/ex3/symbol.png', 'logo': 'https://images.pokemontcg.io/ex3/logo.png'}}",1,Naoyo Kimura,Rare Holo,[359],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/ex3/1.png', 'large': 'https://images.pokemontcg.io/ex3/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/ex3-1', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 22.98, 'mid': 36.07, 'high': 55.99, 'market': 44.24, 'directLow': None}, 'reverseHolofoil': {'low': 23.99, 'mid': 30.0, 'high': 39.49, 'market': 24.95, 'directLow': None}}}",,,
8,hgss4-1,Aggron,Pokémon,['Stage 2'],,140,['Metal'],Lairon,,"[{'name': 'Second Strike', 'cost': ['Metal', 'Metal', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '40', 'text': 'If the Defending Pokémon already has any damage counters on it, this attack does 40 damage plus 40 more damage.'}, {'name': 'Guard Claw', 'cost': ['Metal', 'Metal', 'Colorless', 'Colorless'], 'convertedEnergyCost': 4, 'damage': '60', 'text': ""During your opponent's next turn, any damage done to Aggron by attacks is reduced by 20 (after applying Weakness and Resistance).""}]","[{'type': 'Fire', 'value': '×2'}]","[{'type': 'Psychic', 'value': '-20'}]","['Colorless', 'Colorless', 'Colorless', 'Colorless']",4.0,"{'id': 'hgss4', 'name': 'HS—Triumphant', 'series': 'HeartGold & SoulSilver', 'printedTotal': 102, 'total': 102, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'TM', 'releaseDate': '2010/11/03', 'updatedAt': '2018/03/04 10:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/hgss4/symbol.png', 'logo': 'https://images.pokemontcg.io/hgss4/logo.png'}}",1,Kagemaru Himeno,Rare Holo,[306],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/hgss4/1.png', 'large': 'https://images.pokemontcg.io/hgss4/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/hgss4-1', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 3.0, 'mid': 3.97, 'high': 5.49, 'market': 2.22, 'directLow': None}, 'reverseHolofoil': {'low': 3.95, 'mid': 5.08, 'high': 168.9, 'market': 2.39, 'directLow': None}}}",,You can tell its age by the length of its iron horns. It claims an entire mountain as its territory.,
9,ex12-1,Aerodactyl,Pokémon,['Stage 1'],,70,['Colorless'],Mysterious Fossil,"[{'name': 'Reactive Protection', 'text': ""Any damage done to Aerodactyl by attacks from your opponent's Pokémon is reduced by 10 for each React Energy card attached to Aerodactyl (after applying Weakness and Resistance)."", 'type': 'Poké-Body'}]","[{'name': 'Power Blow', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '10+', 'text': 'Does 10 damage plus 10 more damage for each Energy attached to Aerodactyl.'}, {'name': 'Speed Stroke', 'cost': ['Colorless', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '40', 'text': ""During your opponent's next turn, prevent all effects, including damage, done to Aerodactyl by attacks from your opponent's Pokémon-ex.""}]","[{'type': 'Lightning', 'value': '×2'}]","[{'type': 'Fighting', 'value': '-30'}]",,,"{'id': 'ex12', 'name': 'Legend Maker', 'series': 'EX', 'printedTotal': 92, 'total': 93, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'LM', 'releaseDate': '2006/02/01', 'updatedAt': '2018/03/04 10:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/ex12/symbol.png', 'logo': 'https://images.pokemontcg.io/ex12/logo.png'}}",1,Hajime Kusajima,Rare Holo,[142],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/ex12/1.png', 'large': 'https://images.pokemontcg.io/ex12/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/ex12-1', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 10.0, 'mid': 14.0, 'high': 24.99, 'market': 17.85, 'directLow': None}, 'reverseHolofoil': {'low': 35.0, 'mid': 40.0, 'high': 45.0, 'market': 4.37, 'directLow': None}}}",,,
