,id,name,supertype,subtypes,level,hp,types,evolvesFrom,abilities,attacks,weaknesses,resistances,retreatCost,convertedRetreatCost,set,number,artist,rarity,nationalPokedexNumbers,legalities,images,tcgplayer,flavorText,rules,evolvesTo
0,pl1-1,Ampharos,Pokémon,['Stage 2'],57,130,['Lightning'],Flaaffy,"[{'name': 'Damage Bind', 'text': ""Each Pokémon that has any damage counters on it (both yours and your opponent's) can't use any Poké-Powers."", 'type': 'Poké-Body'}]","[{'name': 'Gigavolt', 'cost': ['Lightning', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '30+', 'text': 'Flip a coin. If heads, this attack does 30 damage plus 30 more damage. If tails, the Defending Pokémon is now Paralyzed.'}, {'name': 'Reflect Energy', 'cost': ['Lightning', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '70', 'text': 'Move an Energy card attached to Ampharos to 1 of your Benched Pokémon.'}]","[{'type': 'Fighting', 'value': '+30'}]","[{'type': 'Metal', 'value': '-20'}]","['Colorless', 'Colorless']",2.0,"{'id': 'pl1', 'name': 'Platinum', 'series': 'Platinum', 'printedTotal': 127, 'total': 130, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'PL', 'releaseDate': '2009/02/11', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/pl1/symbol.png', 'logo': 'https://images.pokemontcg.io/pl1/logo.png'}}",1,Atsuko Nishida,Rare Holo,[181],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/pl1/1.png', 'large': 'https://images.pokemontcg.io/pl1/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/pl1-1', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 6.75, 'mid': 8.0, 'high': 14.98, 'market': 6.38, 'directLow': None}, 'reverseHolofoil': {'low': 13.91, 'mid': 14.0, 'high': 14.98, 'market': 2.16, 'directLow': None}}}",,,
1,ecard2-H1,Ampharos,Pokémon,['Stage 2'],,100,['Lightning'],Flaaffy,,"[{'name': 'Thundershock', 'cost': ['Lightning'], 'convertedEnergyCost': 1, 'damage': '20', 'text': 'Flip a coin. If heads, the Defending Pokémon is now Paralyzed.'}, {'name': 'Reflect Energy', 'cost': ['Lightning', 'Lightning', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '50', 'text': 'If you have any Benched Pokémon and if there are any basic Energy cards attached to Ampharos, take 1 of those Energy cards and attach it to 1 of those Pokémon.'}]","[{'type': 'Fighting', 'value': '×2'}]",,"['Colorless', 'Colorless']",2.0,"{'id': 'ecard2', 'name': 'Aquapolis', 'series': 'E-Card', 'printedTotal': 186, 'total': 186, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'AQ', 'releaseDate': '2003/01/15', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/ecard2/symbol.png', 'logo': 'https://images.pokemontcg.io/ecard2/logo.png'}}",H1,Shin-ichi Yoshida,Rare Holo,[181],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/ecard2/H1.png', 'large': 'https://images.pokemontcg.io/ecard2/H1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/ecard2-H1', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 100.28, 'mid': 140.98, 'high': 167.03, 'market': 141.91, 'directLow': None}}}",,,
2,dp3-1,Ampharos,Pokémon,['Stage 2'],52,130,['Lightning'],Flaaffy,"[{'name': 'Jamming', 'text': ""After your opponent plays a Supporter card from his or her hand, put 1 damage counter on each of your opponent's Pokémon. You can't use more than 1 Jamming Poké-Body each turn."", 'type': 'Poké-Body'}]","[{'name': 'Cluster Bolt', 'cost': ['Lightning', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '70', 'text': ""You may discard all Lightning Energy attached to Ampharos. If you do, this attack does 20 damage to each of your opponent's Benched Pokémon that has any Energy cards attached to it. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]","[{'type': 'Fighting', 'value': '+30'}]","[{'type': 'Metal', 'value': '-20'}]","['Colorless', 'Colorless', 'Colorless']",3.0,"{'id': 'dp3', 'name': 'Secret Wonders', 'series': 'Diamond & Pearl', 'printedTotal': 132, 'total': 132, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'SW', 'releaseDate': '2007/11/01', 'updatedAt': '2018/03/04 10:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/dp3/symbol.png', 'logo': 'https://images.pokemontcg.io/dp3/logo.png'}}",1,Kouki Saitou,Rare Holo,[181],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/dp3/1.png', 'large': 'https://images.pokemontcg.io/dp3/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/dp3-1', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 6.55, 'mid': 8.21, 'high': 20.18, 'market': 7.06, 'directLow': None}, 'reverseHolofoil': {'low': 5.0, 'mid': 12.5, 'high': 19.99, 'market': 6.3, 'directLow': 2.59}}}","The tip of its tail shines brightly. In the olden days, people sent signals using the tail's light.",,
3,ex7-2,Dark Ampharos,Pokémon,['Stage 2'],,120,"['Lightning', 'Darkness']",Dark Flaaffy,"[{'name': 'Darkest Impulse', 'text': ""As long as Dark Ampharos is in play, whenever your opponent plays an Evolution card from his or her hand to evolve 1 of his or her Pokémon, put 2 damage counters on that Pokémon. You can't use more than 1 Darkest Impulse Poké-Body each turn."", 'type': 'Poké-Body'}]","[{'name': 'Ram', 'cost': ['Colorless', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '30', 'text': ''}, {'name': 'Shock Bolt', 'cost': ['Lightning', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '70', 'text': 'Discard all Lightning Energy attached to Dark Ampharos.'}]","[{'type': 'Fighting', 'value': '×2'}]",,"['Colorless', 'Colorless']",2.0,"{'id': 'ex7', 'name': 'Team Rocket Returns', 'series': 'EX', 'printedTotal': 109, 'total': 109, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'TRR', 'releaseDate': '2004/11/01', 'updatedAt': '2019/01/28 16:44:00', 'images': {'symbol': 'https://images.pokemontcg.io/ex7/symbol.png', 'logo': 'https://images.pokemontcg.io/ex7/logo.png'}}",2,Emi Miwa,Rare Holo,[181],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/ex7/2.png', 'large': 'https://images.pokemontcg.io/ex7/2_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/ex7-2', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 37.25, 'mid': 45.5, 'high': 100.0, 'market': 37.25, 'directLow': None}, 'reverseHolofoil': {'low': 41.94, 'mid': 54.74, 'high': 69.99, 'market': 67.95, 'directLow': None}}}",,['This Pokémon is both Lightning Darkness type.'],
4,pop7-1,Ampharos,Pokémon,['Stage 2'],52,130,['Lightning'],Flaaffy,"[{'name': 'Jamming', 'text': ""After your opponent plays a Supporter card from his or her hand, put 1 damage counter on each of your opponent's Pokémon. You can't use more than 1 Jamming Poké-Body each turn."", 'type': 'Poké-Body'}]","[{'name': 'Cluster Bolt', 'cost': ['Lightning', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '70', 'text': ""You may discard all Lightning Energy attached to Ampharos. If you do, this attack does 20 damage to each of your opponent's Benched Pokémon that has any Energy cards attached to it. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]","[{'type': 'Fighting', 'value': '+30'}]","[{'type': 'Metal', 'value': '-20'}]","['Colorless', 'Colorless', 'Colorless']",3.0,"{'id': 'pop7', 'name': 'POP Series 7', 'series': 'POP', 'printedTotal': 17, 'total': 17, 'legalities': {'unlimited': 'Legal'}, 'releaseDate': '2008/03/01', 'updatedAt': '2018/03/04 10:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/pop7/symbol.png', 'logo': 'https://images.pokemontcg.io/pop7/logo.png'}}",1,Kouki Saitou,Rare,[181],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/pop7/1.png', 'large': 'https://images.pokemontcg.io/pop7/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/pop7-1', 'updatedAt': '2021/05/13', 'prices': {'normal': {'low': 6.0, 'mid': 7.52, 'high': 8.69, 'market': 2.5, 'directLow': None}, 'holofoil': {'low': 1.23, 'mid': 8.34, 'high': 10.99, 'market': 5.71, 'directLow': None}}}","The tip of its tail shines brightly. In the olden days, people sent signals using the tail's light.",,
5,ex11-3,Dragonite δ,Pokémon,['Stage 2'],,100,"['Lightning', 'Metal']",Dragonair,"[{'name': 'Delta Charge', 'text': ""Once during your turn (before your attack), you may attach a Lightning Energy card from your discard pile to 1 of your Benched Pokémon. This power can't be used if Dragonite is affected by a Special Condition."", 'type': 'Poké-Power'}]","[{'name': 'Agility', 'cost': ['Lightning', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '30', 'text': ""Flip a coin. If heads, prevent all effects of an attack, including damage, done to Dragonite during your opponent's next turn.""}, {'name': 'Heavy Impact', 'cost': ['Lightning', 'Metal', 'Colorless', 'Colorless'], 'convertedEnergyCost': 4, 'damage': '70', 'text': ''}]","[{'type': 'Colorless', 'value': '×2'}]","[{'type': 'Grass', 'value': '-30'}, {'type': 'Fighting', 'value': '-30'}]","['Colorless', 'Colorless']",2.0,"{'id': 'ex11', 'name': 'Delta Species', 'series': 'EX', 'printedTotal': 113, 'total': 114, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'DS', 'releaseDate': '2005/10/31', 'updatedAt': '2020/05/01 16:06:00', 'images': {'symbol': 'https://images.pokemontcg.io/ex11/symbol.png', 'logo': 'https://images.pokemontcg.io/ex11/logo.png'}}",3,Ryo Ueda,Rare Holo,[149],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/ex11/3.png', 'large': 'https://images.pokemontcg.io/ex11/3_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/ex11-3', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 54.0, 'mid': 57.5, 'high': 100.0, 'market': 61.24, 'directLow': None}, 'reverseHolofoil': {'low': 127.49, 'mid': 150.0, 'high': 199.0, 'market': 149.98, 'directLow': 174.98}}}",,['This Pokémon is both Lightning Metal type.'],
6,basep-1,Pikachu,Pokémon,['Basic'],16,60,['Lightning'],,,"[{'name': 'Growl', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '', 'text': ""If the Defending Pokémon attacks Pikachu during your opponent's next turn, any damage done by the attack is reduced by 10 (after applying Weakness and Resistance). (Benching either Pokémon ends this effect.)""}, {'name': 'Thundershock', 'cost': ['Lightning', 'Lightning'], 'convertedEnergyCost': 2, 'damage': '20', 'text': 'Flip a coin. If heads, the Defending Pokémon is now Paralyzed.'}]","[{'type': 'Fighting', 'value': '×2'}]",,['Colorless'],1.0,"{'id': 'basep', 'name': 'Wizards Black Star Promos', 'series': 'Base', 'printedTotal': 53, 'total': 53, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'PR', 'releaseDate': '1999/07/01', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/basep/symbol.png', 'logo': 'https://images.pokemontcg.io/basep/logo.png'}}",1,Keiji Kinebuchi,Promo,[25],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/basep/1.png', 'large': 'https://images.pokemontcg.io/basep/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/basep-1', 'updatedAt': '2021/05/13', 'prices': {'1stEditionHolofoil': {'low': 23.99, 'mid': 61.47, 'high': 99.98, 'market': 53.31, 'directLow': None}}}","When several of these Pokémon gather, their electricity could build and cause lightning storms.",,['Raichu']
7,neo4-1,Dark Ampharos,Pokémon,['Stage 2'],36,70,['Lightning'],Dark Flaaffy,"[{'name': 'Conductivity', 'text': ""Whenever your opponent attaches an Energy card from his or her hand to a Pokémon, this power does 10 damage to that Pokémon. (Don't apply Weakness and Resistance.) This power stops working if you have more than 1 Dark Ampharos in play or while Dark Ampharos is Asleep, Confused, or Paralyzed."", 'type': 'Pokémon Power'}]","[{'name': 'Shock Bolt', 'cost': ['Lightning', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '50', 'text': 'Discard all Lightning Energy cards attached to Dark Ampharos or this attack does nothing.'}]","[{'type': 'Fighting', 'value': '×2'}]",,"['Colorless', 'Colorless']",2.0,"{'id': 'neo4', 'name': 'Neo Destiny', 'series': 'Neo', 'printedTotal': 113, 'total': 113, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'N4', 'releaseDate': '2002/02/28', 'updatedAt': '2020/09/25 10:09:00', 'images': {'symbol': 'https://images.pokemontcg.io/neo4/symbol.png', 'logo': 'https://images.pokemontcg.io/neo4/logo.png'}}",1,Kagemaru Himeno,Rare Holo,[181],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/neo4/1.png', 'large': 'https://images.pokemontcg.io/neo4/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/neo4-1', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 40.96, 'mid': 67.5, 'high': 84.95, 'market': 73.23, 'directLow': None}, '1stEditionHolofoil': {'low': 175.5, 'mid': 283.42, 'high': 499.99, 'market': 20.28, 'directLow': None}}}","Its brightly lit tail can be seen for miles in the dark, even by ships on the sea.",,
8,neo3-1,Ampharos,Pokémon,['Stage 2'],46,90,['Lightning'],Flaaffy,,"[{'name': 'Attract Current', 'cost': ['Lightning'], 'convertedEnergyCost': 1, 'damage': '20', 'text': 'Flip 3 coins. For each heads, you may search your deck for a Lightning Energy card and attach it to 1 of your Lightning Pokémon. Shuffle your deck afterward.'}, {'name': 'Gigavolt', 'cost': ['Lightning', 'Lightning', 'Lightning', 'Colorless'], 'convertedEnergyCost': 4, 'damage': '40+', 'text': 'Flip a coin. If heads, this attack does 40 damage plus 20 more damage. If tails, this attack does 40 damage and the Defending Pokémon is now Paralyzed.'}]","[{'type': 'Fighting', 'value': '×2'}]",,"['Colorless', 'Colorless', 'Colorless']",3.0,"{'id': 'neo3', 'name': 'Neo Revelation', 'series': 'Neo', 'printedTotal': 66, 'total': 66, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'N3', 'releaseDate': '2001/09/21', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/neo3/symbol.png', 'logo': 'https://images.pokemontcg.io/neo3/logo.png'}}",1,Toshinao Aoki,Rare Holo,[181],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/neo3/1.png', 'large': 'https://images.pokemontcg.io/neo3/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/neo3-1', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 20.0, 'mid': 34.99, 'high': 74.2, 'market': 37.12, 'directLow': None}, '1stEditionHolofoil': {'low': 79.99, 'mid': 115.0, 'high': 150.0, 'market': 149.99, 'directLow': None}}}",The bright light on its tail can be seen far away. It has been treasured since ancient times as a beacon.,,
9,pop6-4,Pachirisu,Pokémon,['Basic'],23,70,['Lightning'],,,"[{'name': 'Minor Errand-Running', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '', 'text': 'Search your deck for a basic Energy card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.'}, {'name': 'Thunder Jolt', 'cost': ['Lightning'], 'convertedEnergyCost': 1, 'damage': '20', 'text': 'Flip a coin. If tails, Pachirisu does 10 damage to itself.'}]","[{'type': 'Fighting', 'value': '+20'}]","[{'type': 'Metal', 'value': '-20'}]",['Colorless'],1.0,"{'id': 'pop6', 'name': 'POP Series 6', 'series': 'POP', 'printedTotal': 17, 'total': 17, 'legalities': {'unlimited': 'Legal'}, 'releaseDate': '2007/09/01', 'updatedAt': '2020/05/01 16:06:00', 'images': {'symbol': 'https://images.pokemontcg.io/pop6/symbol.png', 'logo': 'https://images.pokemontcg.io/pop6/logo.png'}}",4,Atsuko Nishida,Rare,[417],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/pop6/4.png', 'large': 'https://images.pokemontcg.io/pop6/4_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/pop6-4', 'updatedAt': '2021/05/13', 'prices': {'normal': {'low': 0.88, 'mid': 2.0, 'high': 4.99, 'market': 2.14, 'directLow': None}}}",It makes fur balls that crackle with static electricity. It stores them with berries in tree holes.,,
