,id,name,supertype,subtypes,level,hp,types,evolvesFrom,evolvesTo,rules,attacks,set,number,artist,rarity,flavorText,nationalPokedexNumbers,legalities,images,tcgplayer,retreatCost,convertedRetreatCost,abilities
0,neo1-12,Pichu,Pokémon,['Baby'],5,30,['Lightning'],Pikachu,['Pikachu'],"[""If this Baby Pokémon is your Active Pokémon and your opponent tries to attack, your opponent flips a coin (before doing anything required in order to use that attack). If tails, your opponent's turn ends without an attack.""]","[{'name': 'Zzzap', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '', 'text': ""Does 20 damage to each Pokémon in play that has a Pokémon Power. Don't apply Weakness and Resistance.""}]","{'id': 'neo1', 'name': 'Neo Genesis', 'series': 'Neo', 'printedTotal': 111, 'total': 111, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'N1', 'releaseDate': '2000/12/16', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/neo1/symbol.png', 'logo': 'https://images.pokemontcg.io/neo1/logo.png'}}",12,Ken Sugimori,Rare Holo,"Despite its small size, it can zap even adult humans. However, if it does so, it also surprises itself.",[172],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/neo1/12.png', 'large': 'https://images.pokemontcg.io/neo1/12_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/neo1-12', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 34.0, 'mid': 59.99, 'high': 200.0, 'market': 61.34, 'directLow': None}, '1stEditionHolofoil': {'low': 108.16, 'mid': 116.62, 'high': 400.0, 'market': 176.31, 'directLow': None}}}",,,
1,ecard1-17,Magby,Pokémon,['Baby'],,30,['Fire'],,['Magmar'],"[""If your Active Pokémon is a Baby Pokémon and your opponent announces an attack, your opponent flips a coin (before doing anything else). If tails, your opponent's turn ends.""]","[{'name': 'Energy Catch', 'cost': ['Fire'], 'convertedEnergyCost': 1, 'damage': '', 'text': 'Flip a coin. If heads, put a basic Energy card from your discard pile into your hand.'}]","{'id': 'ecard1', 'name': 'Expedition Base Set', 'series': 'E-Card', 'printedTotal': 165, 'total': 165, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'EX', 'releaseDate': '2002/09/15', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/ecard1/symbol.png', 'logo': 'https://images.pokemontcg.io/ecard1/logo.png'}}",17,Mitsuhiro Arita,Rare Holo,,[240],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/ecard1/17.png', 'large': 'https://images.pokemontcg.io/ecard1/17_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/ecard1-17', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 25.0, 'mid': 31.99, 'high': 32.0, 'market': 29.49, 'directLow': None}, 'reverseHolofoil': {'low': 11.11, 'mid': 35.0, 'high': 59.97, 'market': 10.52, 'directLow': None}}}",['Colorless'],1.0,
2,neo1-20,Cleffa,Pokémon,['Baby'],6,30,['Colorless'],,['Clefairy'],"[""If this Baby Pokémon is your Active Pokémon and your opponent tries to attack, your opponent flips a coin (before doing anything required in order to use that attack). If tails, your opponent's turn ends without an attack.""]","[{'name': 'Eeeeeeek', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '', 'text': 'Shuffle your hand into your deck, then draw 7 cards.'}]","{'id': 'neo1', 'name': 'Neo Genesis', 'series': 'Neo', 'printedTotal': 111, 'total': 111, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'N1', 'releaseDate': '2000/12/16', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/neo1/symbol.png', 'logo': 'https://images.pokemontcg.io/neo1/logo.png'}}",20,Kagemaru Himeno,Rare,"Because of its unusual, star-like silhouette, people believe that it came here on a meteor.",[173],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/neo1/20.png', 'large': 'https://images.pokemontcg.io/neo1/20_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/neo1-20', 'updatedAt': '2021/05/13', 'prices': {'normal': {'low': 18.53, 'mid': 23.27, 'high': 44.49, 'market': 23.27, 'directLow': None}, '1stEditionNormal': {'low': 20.98, 'mid': 30.0, 'high': 49.99, 'market': 34.6, 'directLow': None}}}",,,
3,neo1-22,Elekid,Pokémon,['Baby'],6,30,['Lightning'],,['Electabuzz'],"[""If this Baby Pokémon is your Active Pokémon and your opponent tries to attack, your opponent flips a coin (before doing anything required in order to use that attack). If tails, your opponent's turn ends without an attack.""]",,"{'id': 'neo1', 'name': 'Neo Genesis', 'series': 'Neo', 'printedTotal': 111, 'total': 111, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'N1', 'releaseDate': '2000/12/16', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/neo1/symbol.png', 'logo': 'https://images.pokemontcg.io/neo1/logo.png'}}",22,Miki Tanaka,Rare,"It rotates its arms to generate electricity, but it tires easily, so it charges up only a little bit.",[239],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/neo1/22.png', 'large': 'https://images.pokemontcg.io/neo1/22_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/neo1-22', 'updatedAt': '2021/05/13', 'prices': {'normal': {'low': 0.79, 'mid': 3.0, 'high': 10.97, 'market': 3.0, 'directLow': None}, '1stEditionNormal': {'low': 8.66, 'mid': 11.09, 'high': 22.99, 'market': 12.44, 'directLow': None}}}",,,"[{'name': 'Playful Punch', 'text': ""Once during your turn (before your attack), you may flip a coin. If heads, do 20 damage to your opponent's Active Pokémon. (Apply Weakness and Resistance.) Either way, this ends your turn. This power can't be used if Elekid is Asleep, Confused, or Paralyzed."", 'type': 'Pokémon Power'}]"
4,neo1-23,Magby,Pokémon,['Baby'],5,30,['Fire'],,['Magmar'],"[""If this Baby Pokémon is your Active Pokémon and your opponent tries to attack, your opponent flips a coin (before doing anything required in order to use that attack). If tails, your opponent's turn ends without an attack.""]","[{'name': 'Sputter', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '10', 'text': 'All Pokémon Powers stop working until the end of your next turn.'}]","{'id': 'neo1', 'name': 'Neo Genesis', 'series': 'Neo', 'printedTotal': 111, 'total': 111, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'N1', 'releaseDate': '2000/12/16', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/neo1/symbol.png', 'logo': 'https://images.pokemontcg.io/neo1/logo.png'}}",23,Ken Sugimori,Rare,"Each and every time it inhales and exhales, hot embers dribble out of its mouth and nostrils.",[240],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/neo1/23.png', 'large': 'https://images.pokemontcg.io/neo1/23_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/neo1-23', 'updatedAt': '2021/05/13', 'prices': {'normal': {'low': 1.52, 'mid': 2.75, 'high': 7.94, 'market': 3.24, 'directLow': None}, '1stEditionNormal': {'low': 3.99, 'mid': 10.0, 'high': 27.99, 'market': 11.4, 'directLow': None}}}",,,
5,ecard1-22,Pichu,Pokémon,['Baby'],,30,['Lightning'],Pikachu,['Pikachu'],"[""If your Active Pokémon is a Baby Pokémon and your opponent announces an attack, your opponent flips a coin (before doing anything else). If tails, your opponent's turn ends.""]","[{'name': 'Energy Patch', 'cost': ['Lightning'], 'convertedEnergyCost': 1, 'damage': '', 'text': 'Take a basic Energy card attached to 1 of your Pokémon and attach it to another of your Pokémon.'}]","{'id': 'ecard1', 'name': 'Expedition Base Set', 'series': 'E-Card', 'printedTotal': 165, 'total': 165, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'EX', 'releaseDate': '2002/09/15', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/ecard1/symbol.png', 'logo': 'https://images.pokemontcg.io/ecard1/logo.png'}}",22,Atsuko Nishida,Rare Holo,,[172],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/ecard1/22.png', 'large': 'https://images.pokemontcg.io/ecard1/22_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/ecard1-22', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 149.0, 'mid': 149.5, 'high': 300.0, 'market': 116.67, 'directLow': None}, 'reverseHolofoil': {'low': 32.29, 'mid': 40.0, 'high': 69.99, 'market': 47.66, 'directLow': None}}}",['Colorless'],1.0,
6,basep-31,Cleffa,Pokémon,['Baby'],5,30,['Colorless'],Clefairy,['Clefairy'],"[""If this Baby Pokémon is your Active Pokémon and your opponent announces an attack, your opponent flips a coin (before doing anything else). If tails, your opponent's turn ends.""]","[{'name': 'Eek', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '', 'text': 'Draw 2 cards.'}]","{'id': 'basep', 'name': 'Wizards Black Star Promos', 'series': 'Base', 'printedTotal': 53, 'total': 53, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'PR', 'releaseDate': '1999/07/01', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/basep/symbol.png', 'logo': 'https://images.pokemontcg.io/basep/logo.png'}}",31,Ken Sugimori,Promo,"Because of its unusual, star-like silhouette, people believe that it came here on a meteor.",[173],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/basep/31.png', 'large': 'https://images.pokemontcg.io/basep/31_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/basep-31', 'updatedAt': '2021/05/13', 'prices': {'normal': {'low': 3.49, 'mid': 5.0, 'high': 10.0, 'market': 4.3, 'directLow': None}}}",,,
7,ecard2-9,Elekid,Pokémon,['Baby'],,30,['Lightning'],Electabuzz,['Electabuzz'],"[""If your Active Pokémon is a Baby Pokémon and your opponent announces an attack, your opponent flips a coin (before doing anything else). If tails, your opponent's turn ends.""]","[{'name': 'Energy Kick', 'cost': ['Lightning'], 'convertedEnergyCost': 1, 'damage': '', 'text': 'Flip a coin. If heads, choose an Energy card attached to the Defending Pokémon. Your opponent moves that card to 1 of his or her other Pokémon. (If your opponent has no Benched Pokémon, this attack does nothing.)'}]","{'id': 'ecard2', 'name': 'Aquapolis', 'series': 'E-Card', 'printedTotal': 186, 'total': 186, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'AQ', 'releaseDate': '2003/01/15', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/ecard2/symbol.png', 'logo': 'https://images.pokemontcg.io/ecard2/logo.png'}}",9,Hikaru Koike,Rare,,[239],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/ecard2/9.png', 'large': 'https://images.pokemontcg.io/ecard2/9_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/ecard2-9', 'updatedAt': '2021/05/13', 'prices': {'normal': {'low': 7.99, 'mid': 11.49, 'high': 14.99, 'market': 7.02, 'directLow': None}, 'reverseHolofoil': {'low': 3.15, 'mid': 7.08, 'high': 12.89, 'market': 13.99, 'directLow': None}}}",['Colorless'],1.0,
8,basep-35,Pichu,Pokémon,['Baby'],4,30,['Lightning'],Pikachu,['Pikachu'],"[""If this Baby Pokémon is your Active Pokémon and your opponent announces an attack, your opponent flips a coin (before doing anything else). If tails, your opponent's turn ends.""]","[{'name': ""Let's Play!"", 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '', 'text': ""Search your deck for a Baby Pokémon card and put it onto your Bench. Shuffle your deck afterward. (You can't use this attack if your Bench is full.)""}]","{'id': 'basep', 'name': 'Wizards Black Star Promos', 'series': 'Base', 'printedTotal': 53, 'total': 53, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'PR', 'releaseDate': '1999/07/01', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/basep/symbol.png', 'logo': 'https://images.pokemontcg.io/basep/logo.png'}}",35,Ken Sugimori,Promo,It is not yet skilled at storing electricity. It may send out a jolt if amused or startled.,[172],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/basep/35.png', 'large': 'https://images.pokemontcg.io/basep/35_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/basep-35', 'updatedAt': '2021/05/13', 'prices': {'reverseHolofoil': {'low': 15.0, 'mid': 20.92, 'high': 29.99, 'market': 20.81, 'directLow': None}}}",,,
9,basep-36,Igglybuff,Pokémon,['Baby'],5,30,['Colorless'],Jigglypuff,['Jigglypuff'],"[""If this Baby Pokémon is your Active Pokémon and your opponent announces an attack, your opponent flips a coin (before doing anything else). If tails, your opponent's turn ends.""]","[{'name': 'Good Night Song', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '', 'text': 'The Defending Pokémon is now Asleep.'}]","{'id': 'basep', 'name': 'Wizards Black Star Promos', 'series': 'Base', 'printedTotal': 53, 'total': 53, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'PR', 'releaseDate': '1999/07/01', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/basep/symbol.png', 'logo': 'https://images.pokemontcg.io/basep/logo.png'}}",36,Kagemaru Himeno,Promo,"Its extremely flexible and elastic body makes it bounce continuously—anytime, anywhere.",[174],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/basep/36.png', 'large': 'https://images.pokemontcg.io/basep/36_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/basep-36', 'updatedAt': '2021/05/13', 'prices': {'normal': {'low': 2.25, 'mid': 3.99, 'high': 10.0, 'market': 3.01, 'directLow': None}}}",,,
