,id,name,series,printedTotal,total,legalities,ptcgoCode,releaseDate,updatedAt,images
0,base1,Base,Base,102,102,{'unlimited': 'Legal'},BS,1999/01/09,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/base1/symbol.png', 'logo': 'https://images.pokemontcg.io/base1/logo.png'}"
1,base2,Jungle,Base,64,64,{'unlimited': 'Legal'},JU,1999/06/16,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/base2/symbol.png', 'logo': 'https://images.pokemontcg.io/base2/logo.png'}"
2,basep,Wizards Black Star Promos,Base,53,53,{'unlimited': 'Legal'},PR,1999/07/01,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/basep/symbol.png', 'logo': 'https://images.pokemontcg.io/basep/logo.png'}"
3,base3,Fossil,Base,62,62,{'unlimited': 'Legal'},FO,1999/10/10,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/base3/symbol.png', 'logo': 'https://images.pokemontcg.io/base3/logo.png'}"
4,base4,Base Set 2,Base,130,130,{'unlimited': 'Legal'},B2,2000/02/24,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/base4/symbol.png', 'logo': 'https://images.pokemontcg.io/base4/logo.png'}"
5,base5,Team Rocket,Base,83,83,{'unlimited': 'Legal'},TR,2000/04/24,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/base5/symbol.png', 'logo': 'https://images.pokemontcg.io/base5/logo.png'}"
6,gym1,Gym Heroes,Gym,132,132,{'unlimited': 'Legal'},G1,2000/08/14,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/gym1/symbol.png', 'logo': 'https://images.pokemontcg.io/gym1/logo.png'}"
7,gym2,Gym Challenge,Gym,132,132,{'unlimited': 'Legal'},G2,2000/10/16,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/gym2/symbol.png', 'logo': 'https://images.pokemontcg.io/gym2/logo.png'}"
8,neo1,Neo Genesis,Neo,111,111,{'unlimited': 'Legal'},N1,2000/12/16,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/neo1/symbol.png', 'logo': 'https://images.pokemontcg.io/neo1/logo.png'}"
9,neo2,Neo Discovery,Neo,75,75,{'unlimited': 'Legal'},N2,2001/06/01,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/neo2/symbol.png', 'logo': 'https://images.pokemontcg.io/neo2/logo.png'}"
10,si1,Southern Islands,Other,18,18,{'unlimited': 'Legal'},,2001/07/31,2019/01/28 16:44:00,"{'symbol': 'https://images.pokemontcg.io/si1/symbol.png', 'logo': 'https://images.pokemontcg.io/si1/logo.png'}"
