,id,name,supertype,subtypes,hp,types,evolvesTo,attacks,retreatCost,convertedRetreatCost,set,number,artist,rarity,nationalPokedexNumbers,legalities,images,tcgplayer,evolvesFrom,weaknesses,resistances,flavorText,level,abilities,rules
0,mcd19-1,Caterpie,Pokémon,['Basic'],50,['Grass'],['Metapod'],"[{'cost': ['Grass'], 'name': 'Surprise Attack', 'text': 'Flip a coin. If tails, this attack does nothing.', 'damage': '20', 'convertedEnergyCost': 1}]",['Colorless'],1.0,"{'id': 'mcd19', 'name': ""McDonald's Collection 2019"", 'series': 'Other', 'printedTotal': 12, 'total': 12, 'legalities': {'unlimited': 'Legal'}, 'releaseDate': '2019/10/15', 'updatedAt': '2020/11/11 13:00:00', 'images': {'symbol': 'https://images.pokemontcg.io/mcd19/symbol.png', 'logo': 'https://images.pokemontcg.io/mcd19/logo.png'}}",1,Sekio,Promo,[10],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/mcd19/1.png', 'large': 'https://images.pokemontcg.io/mcd19/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/mcd19-1', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 3.0, 'mid': 4.0, 'high': 12.99, 'market': 6.39, 'directLow': None}}}",,,,,,,
1,mcd19-2,Alolan Exeggutor,Pokémon,['Stage 1'],160,['Grass'],,"[{'cost': ['Grass'], 'name': 'Tropical Shake', 'text': ""This attack does 20 more damage for each type of basic Energy card in your discard pile. You can't add more than 100 damage in this way."", 'damage': '20+', 'convertedEnergyCost': 1}]","['Colorless', 'Colorless', 'Colorless']",3.0,"{'id': 'mcd19', 'name': ""McDonald's Collection 2019"", 'series': 'Other', 'printedTotal': 12, 'total': 12, 'legalities': {'unlimited': 'Legal'}, 'releaseDate': '2019/10/15', 'updatedAt': '2020/11/11 13:00:00', 'images': {'symbol': 'https://images.pokemontcg.io/mcd19/symbol.png', 'logo': 'https://images.pokemontcg.io/mcd19/logo.png'}}",2,Satoshi Shirai,Promo,[103],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/mcd19/2.png', 'large': 'https://images.pokemontcg.io/mcd19/2_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/mcd19-2', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 1.72, 'mid': 2.46, 'high': 4.73, 'market': 2.91, 'directLow': 1.72}}}",Exeggcute,,,,,,
2,mcd19-3,Magmar,Pokémon,['Basic'],80,['Fire'],['Magmortar'],"[{'cost': ['Fire'], 'name': 'Controlled Burn', 'text': ""Discard the top card of your opponent's deck."", 'damage': None, 'convertedEnergyCost': 1}, {'cost': ['Fire', 'Fire', 'Colorless'], 'name': 'Flamethrower', 'text': 'Discard an Energy from this Pokémon.', 'damage': '80', 'convertedEnergyCost': 3}]","['Colorless', 'Colorless']",2.0,"{'id': 'mcd19', 'name': ""McDonald's Collection 2019"", 'series': 'Other', 'printedTotal': 12, 'total': 12, 'legalities': {'unlimited': 'Legal'}, 'releaseDate': '2019/10/15', 'updatedAt': '2020/11/11 13:00:00', 'images': {'symbol': 'https://images.pokemontcg.io/mcd19/symbol.png', 'logo': 'https://images.pokemontcg.io/mcd19/logo.png'}}",3,Yumi,Promo,[126],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/mcd19/3.png', 'large': 'https://images.pokemontcg.io/mcd19/3_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/mcd19-3', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 3.0, 'mid': 4.99, 'high': 8.51, 'market': 3.76, 'directLow': None}}}",,,,,,,
3,dpp-DP01,Turtwig,Pokémon,['Basic'],60,['Grass'],['Grotle'],"[{'name': 'Tackle', 'cost': [], 'convertedEnergyCost': 0, 'damage': '10', 'text': ''}, {'name': 'Razor Leaf', 'cost': ['Grass'], 'convertedEnergyCost': 1, 'damage': '20', 'text': ''}]","['Colorless', 'Colorless']",2.0,"{'id': 'dpp', 'name': 'DP Black Star Promos', 'series': 'Diamond & Pearl', 'printedTotal': 56, 'total': 56, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'PR-DPP', 'releaseDate': '2007/05/01', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/dpp/symbol.png', 'logo': 'https://images.pokemontcg.io/dpp/logo.png'}}",DP01,Masakazu Fukuda,Promo,[387],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/dpp/DP01.png', 'large': 'https://images.pokemontcg.io/dpp/DP01_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/dpp-DP01', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 5.0, 'mid': 7.93, 'high': 7.99, 'market': 4.54, 'directLow': None}}}",,"[{'type': 'Fire', 'value': '+10'}]","[{'type': 'Water', 'value': '-20'}]","Made from soil, the shell on its back hardens when it drinks water. It lives along lakes.",,,
4,basep-1,Pikachu,Pokémon,['Basic'],60,['Lightning'],['Raichu'],"[{'name': 'Growl', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '', 'text': ""If the Defending Pokémon attacks Pikachu during your opponent's next turn, any damage done by the attack is reduced by 10 (after applying Weakness and Resistance). (Benching either Pokémon ends this effect.)""}, {'name': 'Thundershock', 'cost': ['Lightning', 'Lightning'], 'convertedEnergyCost': 2, 'damage': '20', 'text': 'Flip a coin. If heads, the Defending Pokémon is now Paralyzed.'}]",['Colorless'],1.0,"{'id': 'basep', 'name': 'Wizards Black Star Promos', 'series': 'Base', 'printedTotal': 53, 'total': 53, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'PR', 'releaseDate': '1999/07/01', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/basep/symbol.png', 'logo': 'https://images.pokemontcg.io/basep/logo.png'}}",1,Keiji Kinebuchi,Promo,[25],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/basep/1.png', 'large': 'https://images.pokemontcg.io/basep/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/basep-1', 'updatedAt': '2021/05/13', 'prices': {'1stEditionHolofoil': {'low': 23.99, 'mid': 61.47, 'high': 99.98, 'market': 53.31, 'directLow': None}}}",,"[{'type': 'Fighting', 'value': '×2'}]",,"When several of these Pokémon gather, their electricity could build and cause lightning storms.",16,,
5,mcd19-4,Alolan Sandshrew,Pokémon,['Basic'],60,['Water'],['Sandslash'],"[{'cost': [], 'name': 'Fury Swipes', 'text': 'Flip 3 coins. This attack does 10 damage for each heads.', 'damage': '10', 'convertedEnergyCost': 0}]",['Colorless'],1.0,"{'id': 'mcd19', 'name': ""McDonald's Collection 2019"", 'series': 'Other', 'printedTotal': 12, 'total': 12, 'legalities': {'unlimited': 'Legal'}, 'releaseDate': '2019/10/15', 'updatedAt': '2020/11/11 13:00:00', 'images': {'symbol': 'https://images.pokemontcg.io/mcd19/symbol.png', 'logo': 'https://images.pokemontcg.io/mcd19/logo.png'}}",4,Shin Nagasawa,Promo,[27],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/mcd19/4.png', 'large': 'https://images.pokemontcg.io/mcd19/4_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/mcd19-4', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 3.0, 'mid': 3.57, 'high': 5.5, 'market': 3.18, 'directLow': None}}}",,,,,,,
6,dpp-DP02,Chimchar,Pokémon,['Basic'],50,['Fire'],['Monferno'],"[{'name': 'Scratch', 'cost': [], 'convertedEnergyCost': 0, 'damage': '10', 'text': ''}, {'name': 'Ember', 'cost': ['Fire', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '30', 'text': 'Flip a coin. If tails, discard a Fire Energy attached to Chimchar.'}]",['Colorless'],1.0,"{'id': 'dpp', 'name': 'DP Black Star Promos', 'series': 'Diamond & Pearl', 'printedTotal': 56, 'total': 56, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'PR-DPP', 'releaseDate': '2007/05/01', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/dpp/symbol.png', 'logo': 'https://images.pokemontcg.io/dpp/logo.png'}}",DP02,Kagemaru Himeno,Promo,[390],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/dpp/DP02.png', 'large': 'https://images.pokemontcg.io/dpp/DP02_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/dpp-DP02', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 1.84, 'mid': 13.42, 'high': 24.99, 'market': 3.56, 'directLow': None}}}",,"[{'type': 'Water', 'value': '+10'}]",,It agilely scales sheer cliffs to live atop craggy mountains. Its fire is put out when it sleeps.,,,
7,basep-2,Electabuzz,Pokémon,['Basic'],60,['Lightning'],['Electivire'],"[{'name': 'Light Screen', 'cost': ['Lightning'], 'convertedEnergyCost': 1, 'damage': '', 'text': ""Whenever an attack does damage to Electabuzz (after applying Weakness and Resistance) during your opponent's next turn, that attack only does half the damage to Electabuzz (rounded down to the nearest 10). (Any other effects of attacks still happen.)""}, {'name': 'Quick Attack', 'cost': ['Colorless', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '10+', 'text': 'Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.'}]","['Colorless', 'Colorless']",2.0,"{'id': 'basep', 'name': 'Wizards Black Star Promos', 'series': 'Base', 'printedTotal': 53, 'total': 53, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'PR', 'releaseDate': '1999/07/01', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/basep/symbol.png', 'logo': 'https://images.pokemontcg.io/basep/logo.png'}}",2,Ken Sugimori,Promo,[125],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/basep/2.png', 'large': 'https://images.pokemontcg.io/basep/2_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/basep-2', 'updatedAt': '2021/05/13', 'prices': {'normal': {'low': 1.0, 'mid': 3.71, 'high': 20.0, 'market': 3.8, 'directLow': None}}}",,"[{'type': 'Fighting', 'value': '×2'}]",,"A wild Pokémon with a short temper. It is able to distinguish colors, and likes the color red.",20,,
8,mcd19-5,Lapras,Pokémon,['Basic'],120,['Water'],,"[{'cost': ['Water'], 'name': 'Aqua Bullet', 'text': ""This attack does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)"", 'damage': '20', 'convertedEnergyCost': 1}, {'cost': ['Colorless', 'Colorless', 'Colorless', 'Water'], 'name': 'Hydro Pump', 'text': 'This attack does 10 more damage times the amount of [W] Energy attached to this Pokémon.', 'damage': '70+', 'convertedEnergyCost': 4}]","['Colorless', 'Colorless']",2.0,"{'id': 'mcd19', 'name': ""McDonald's Collection 2019"", 'series': 'Other', 'printedTotal': 12, 'total': 12, 'legalities': {'unlimited': 'Legal'}, 'releaseDate': '2019/10/15', 'updatedAt': '2020/11/11 13:00:00', 'images': {'symbol': 'https://images.pokemontcg.io/mcd19/symbol.png', 'logo': 'https://images.pokemontcg.io/mcd19/logo.png'}}",5,Saya Tsuruta,Promo,[131],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/mcd19/5.png', 'large': 'https://images.pokemontcg.io/mcd19/5_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/mcd19-5', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 5.5, 'mid': 146.08, 'high': 250.0, 'market': 5.7, 'directLow': None}}}",,,,,,,
9,dpp-DP03,Piplup,Pokémon,['Basic'],60,['Water'],['Prinplup'],"[{'name': 'Peck', 'cost': [], 'convertedEnergyCost': 0, 'damage': '10', 'text': ''}, {'name': 'Water Splash', 'cost': ['Water', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '20+', 'text': 'Flip a coin. If heads, this attack does 20 damage plus 10 more damage.'}]",['Colorless'],1.0,"{'id': 'dpp', 'name': 'DP Black Star Promos', 'series': 'Diamond & Pearl', 'printedTotal': 56, 'total': 56, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'PR-DPP', 'releaseDate': '2007/05/01', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/dpp/symbol.png', 'logo': 'https://images.pokemontcg.io/dpp/logo.png'}}",DP03,Atsuko Nishida,Promo,[393],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/dpp/DP03.png', 'large': 'https://images.pokemontcg.io/dpp/DP03_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/dpp-DP03', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 6.01, 'mid': 7.73, 'high': 8.99, 'market': 5.66, 'directLow': None}}}",,"[{'type': 'Lightning', 'value': '+10'}]",,"Because it is very proud, it hates accepting food from people. Its thick down guards it from cold.",,,
