,id,name,supertype,subtypes,hp,types,evolvesFrom,abilities,attacks,weaknesses,retreatCost,convertedRetreatCost,set,number,artist,rarity,nationalPokedexNumbers,legalities,images,tcgplayer,level,flavorText,resistances,evolvesTo,rules,ancientTrait
0,ex7-1,Azumarill,Pokémon,['Stage 1'],80,['Water'],Marill,"[{'name': 'Froth', 'text': 'Once during your turn, when you play Azumarill from your hand to evolve 1 of your Active Pokémon, you may use this power. Each Defending Pokémon is now Paralyzed.', 'type': 'Poké-Power'}]","[{'name': 'Water Punch', 'cost': ['Water', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '20+', 'text': 'Flip a coin for each Water Energy attached to Azumarill. This attack does 20 damage plus 20 more damage for each heads.'}]","[{'type': 'Lightning', 'value': '×2'}]",['Colorless'],1.0,"{'id': 'ex7', 'name': 'Team Rocket Returns', 'series': 'EX', 'printedTotal': 109, 'total': 109, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'TRR', 'releaseDate': '2004/11/01', 'updatedAt': '2019/01/28 16:44:00', 'images': {'symbol': 'https://images.pokemontcg.io/ex7/symbol.png', 'logo': 'https://images.pokemontcg.io/ex7/logo.png'}}",1,Sumiyoshi Kizuki,Rare Holo,[184],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/ex7/1.png', 'large': 'https://images.pokemontcg.io/ex7/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/ex7-1', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 2.71, 'mid': 3.52, 'high': 40.0, 'market': 10.91, 'directLow': None}, 'reverseHolofoil': {'low': 7.0, 'mid': 9.73, 'high': 60.0, 'market': 4.26, 'directLow': None}}}",,,,,,
1,pl1-2,Blastoise,Pokémon,['Stage 2'],130,['Water'],Wartortle,"[{'name': 'Dig Well', 'text': ""Once during your turn (before your attack), you may look at the top 3 cards of your deck, choose as many Water Energy cards as you like, and attach them to your Pokémon in any way you like. Discard the other cards. This power can't be used if Blastoise is affected by a Special Condition."", 'type': 'Poké-Power'}]","[{'name': 'Aqua Press', 'cost': ['Water', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '20+', 'text': ""Does 20 damage plus 10 more damage for each Energy attached to all Pokémon (both yours and your opponent's).""}, {'name': 'Double Launcher', 'cost': ['Water', 'Water', 'Colorless', 'Colorless'], 'convertedEnergyCost': 4, 'damage': '', 'text': ""Discard 2 Energy attached to Blastoise. Choose 2 of your opponent's Benched Pokémon. This attack does 60 damage to each of them. (Don't apply Weakness and Resistance for Benched Pokémon.) Blastoise can't use Double Launcher during your next turn.""}]","[{'type': 'Lightning', 'value': '+30'}]","['Colorless', 'Colorless']",2.0,"{'id': 'pl1', 'name': 'Platinum', 'series': 'Platinum', 'printedTotal': 127, 'total': 130, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'PL', 'releaseDate': '2009/02/11', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/pl1/symbol.png', 'logo': 'https://images.pokemontcg.io/pl1/logo.png'}}",2,Kagemaru Himeno,Rare Holo,[9],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/pl1/2.png', 'large': 'https://images.pokemontcg.io/pl1/2_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/pl1-2', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 10.0, 'mid': 12.33, 'high': 19.99, 'market': 18.27, 'directLow': None}, 'reverseHolofoil': {'low': 31.1, 'mid': 39.95, 'high': 45.94, 'market': 11.36, 'directLow': None}}}",60,,,,,
2,base4-2,Blastoise,Pokémon,['Stage 2'],100,['Water'],Wartortle,"[{'name': 'Rain Dance', 'text': ""As often as you like during your turn (before your attack), you may attach 1 Water Energy card to 1 of your Water Pokémon. (This doesn't use up your 1 Energy card attachment for the turn.) This power can't be used if Blastoise is Asleep, Confused, or Paralyzed."", 'type': 'Pokémon Power'}]","[{'name': 'Hydro Pump', 'cost': ['Water', 'Water', 'Water'], 'convertedEnergyCost': 3, 'damage': '40+', 'text': ""Does 40 damage plus 10 more damage for each Water Energy attached to Blastoise but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way.""}]","[{'type': 'Lightning', 'value': '×2'}]","['Colorless', 'Colorless', 'Colorless']",3.0,"{'id': 'base4', 'name': 'Base Set 2', 'series': 'Base', 'printedTotal': 130, 'total': 130, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'B2', 'releaseDate': '2000/02/24', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/base4/symbol.png', 'logo': 'https://images.pokemontcg.io/base4/logo.png'}}",2,Ken Sugimori,Rare Holo,[9],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/base4/2.png', 'large': 'https://images.pokemontcg.io/base4/2_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/base4-2', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 58.0, 'mid': 89.99, 'high': 224.99, 'market': 126.0, 'directLow': None}}}",52,A brutal Pokémon with pressurized water jets on its shell. They are used for high-speed tackles.,,,,
3,dp3-2,Blastoise,Pokémon,['Stage 2'],120,['Water'],Wartortle,"[{'name': 'Waterlog', 'text': ""Once during your turn (before your attack), you may attach as many basic Water Energy cards from your hand to any of your Pokémon in any way you like. If you do, your turn ends. This power can't be used if Blastoise is affected by a Special Condition."", 'type': 'Poké-Power'}]","[{'name': 'Hydro Pump', 'cost': ['Water', 'Water', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '50+', 'text': ""Does 50 damage plus 20 more damage for each Water Energy attached to Blastoise but not used to pay for this attack's Energy cost. You can't add more than 40 damage in this way.""}]","[{'type': 'Lightning', 'value': '+30'}]","['Colorless', 'Colorless']",2.0,"{'id': 'dp3', 'name': 'Secret Wonders', 'series': 'Diamond & Pearl', 'printedTotal': 132, 'total': 132, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'SW', 'releaseDate': '2007/11/01', 'updatedAt': '2018/03/04 10:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/dp3/symbol.png', 'logo': 'https://images.pokemontcg.io/dp3/logo.png'}}",2,Daisuke Ito,Rare Holo,[9],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/dp3/2.png', 'large': 'https://images.pokemontcg.io/dp3/2_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/dp3-2', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 48.0, 'mid': 48.67, 'high': 49.66, 'market': 23.26, 'directLow': None}, 'reverseHolofoil': {'low': 22.95, 'mid': 29.99, 'high': 47.66, 'market': 22.15, 'directLow': None}}}",52,The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.,,,,
4,base3-2,Articuno,Pokémon,['Basic'],70,['Water'],,,"[{'name': 'Freeze Dry', 'cost': ['Water', 'Water', 'Water'], 'convertedEnergyCost': 3, 'damage': '30', 'text': 'Flip a coin. If heads, the Defending Pokémon is now Paralyzed.'}, {'name': 'Blizzard', 'cost': ['Water', 'Water', 'Water', 'Water'], 'convertedEnergyCost': 4, 'damage': '50', 'text': ""Flip a coin. If heads, this attack does 10 damage to each of your opponent's Benched Pokémon. If tails, this attack does 10 damage to each of your own Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",,"['Colorless', 'Colorless']",2.0,"{'id': 'base3', 'name': 'Fossil', 'series': 'Base', 'printedTotal': 62, 'total': 62, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'FO', 'releaseDate': '1999/10/10', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/base3/symbol.png', 'logo': 'https://images.pokemontcg.io/base3/logo.png'}}",2,Mitsuhiro Arita,Rare Holo,[144],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/base3/2.png', 'large': 'https://images.pokemontcg.io/base3/2_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/base3-2', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 30.0, 'mid': 35.17, 'high': 58.45, 'market': 43.78, 'directLow': None}, '1stEditionHolofoil': {'low': 91.89, 'mid': 119.6, 'high': 249.99, 'market': 210.48, 'directLow': None}}}",35,A legendary bird Pokémon that is said to appear to doomed people who are lost in icy mountains.,"[{'type': 'Fighting', 'value': '-30'}]",,,
5,hgss1-2,Azumarill,Pokémon,['Stage 1'],90,['Water'],Marill,,"[{'name': 'Waterfall', 'cost': ['Water', 'Water'], 'convertedEnergyCost': 2, 'damage': '40', 'text': ''}, {'name': 'Bubblebeam', 'cost': ['Water', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '60', 'text': 'Flip a coin. If heads, the Defending Pokémon is now Paralyzed.'}]","[{'type': 'Lightning', 'value': '×2'}]","['Colorless', 'Colorless']",2.0,"{'id': 'hgss1', 'name': 'HeartGold & SoulSilver', 'series': 'HeartGold & SoulSilver', 'printedTotal': 123, 'total': 123, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'HS', 'releaseDate': '2010/02/10', 'updatedAt': '2018/03/04 10:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/hgss1/symbol.png', 'logo': 'https://images.pokemontcg.io/hgss1/logo.png'}}",2,Kouki Saitou,Rare Holo,[184],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/hgss1/2.png', 'large': 'https://images.pokemontcg.io/hgss1/2_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/hgss1-2', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 0.7, 'mid': 1.09, 'high': 7.0, 'market': 2.45, 'directLow': None}, 'reverseHolofoil': {'low': 1.49, 'mid': 6.39, 'high': 7.99, 'market': 1.27, 'directLow': None}}}",,"When it plays in water, it rolls up its elongated ears to prevent their insides from getting wet.",,,,
6,pop6-3,Manaphy,Pokémon,['Basic'],70,['Water'],,,"[{'name': 'Call for Family', 'cost': ['Colorless'], 'convertedEnergyCost': 1, 'damage': '', 'text': 'Search your deck for a Basic Pokémon and put it onto your Bench. Shuffle your deck afterward.'}, {'name': 'Aqua Ring', 'cost': ['Water', 'Water'], 'convertedEnergyCost': 2, 'damage': '30', 'text': 'Switch Manaphy with 1 of your Benched Pokémon.'}]","[{'type': 'Lightning', 'value': '+20'}]",['Colorless'],1.0,"{'id': 'pop6', 'name': 'POP Series 6', 'series': 'POP', 'printedTotal': 17, 'total': 17, 'legalities': {'unlimited': 'Legal'}, 'releaseDate': '2007/09/01', 'updatedAt': '2020/05/01 16:06:00', 'images': {'symbol': 'https://images.pokemontcg.io/pop6/symbol.png', 'logo': 'https://images.pokemontcg.io/pop6/logo.png'}}",3,Atsuko Nishida,Rare,[490],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/pop6/3.png', 'large': 'https://images.pokemontcg.io/pop6/3_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/pop6-3', 'updatedAt': '2021/05/13', 'prices': {'normal': {'low': 0.35, 'mid': 0.81, 'high': 2.0, 'market': 1.49, 'directLow': None}, 'holofoil': {'low': 0.49, 'mid': 3.8, 'high': 34.99, 'market': 1.94, 'directLow': None}}}",20,"Born on a cold seafloor, it will swim great distances to return to its birthplace.",,,,
7,ex3-3,Crawdaunt,Pokémon,['Stage 1'],80,['Water'],Corphish,"[{'name': 'Power Pinchers', 'text': 'As long as Crawdaunt is your Active Pokémon, when any of your Active Pokémon does damage to the Defending Pokémon, the attack does 10 more damage (before applying Weakness and Resistance).', 'type': 'Poké-Body'}]","[{'name': 'Guillotine', 'cost': ['Water', 'Colorless', 'Colorless'], 'convertedEnergyCost': 3, 'damage': '50', 'text': ''}]","[{'type': 'Lightning', 'value': '×2'}]","['Colorless', 'Colorless']",2.0,"{'id': 'ex3', 'name': 'Dragon', 'series': 'EX', 'printedTotal': 97, 'total': 97, 'legalities': {'unlimited': 'Legal'}, 'ptcgoCode': 'DR', 'releaseDate': '2003/09/18', 'updatedAt': '2019/01/28 16:44:00', 'images': {'symbol': 'https://images.pokemontcg.io/ex3/symbol.png', 'logo': 'https://images.pokemontcg.io/ex3/logo.png'}}",3,Hisao Nakamura,Rare Holo,[342],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/ex3/3.png', 'large': 'https://images.pokemontcg.io/ex3/3_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/ex3-3', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 0.88, 'mid': 3.86, 'high': 19.99, 'market': 4.0, 'directLow': None}, 'reverseHolofoil': {'low': 1.2, 'mid': 3.51, 'high': 8.99, 'market': 2.96, 'directLow': None}}}",,,,,,
8,pop3-1,Blastoise,Pokémon,['Stage 2'],120,['Water'],Wartortle,,"[{'name': 'Smash Turn', 'cost': ['Colorless', 'Colorless'], 'convertedEnergyCost': 2, 'damage': '30', 'text': 'After your attack, you may switch Blastoise with 1 of your Benched Pokémon.'}, {'name': 'Rocket Tackle', 'cost': ['Water', 'Water', 'Colorless', 'Colorless'], 'convertedEnergyCost': 4, 'damage': '60', 'text': ""Blastoise does 10 damage to itself. Flip a coin. If heads, prevent all damage done to Blastoise by attacks during your opponent's next turn.""}]","[{'type': 'Lightning', 'value': '×2'}]","['Colorless', 'Colorless']",2.0,"{'id': 'pop3', 'name': 'POP Series 3', 'series': 'POP', 'printedTotal': 17, 'total': 17, 'legalities': {'unlimited': 'Legal'}, 'releaseDate': '2006/04/01', 'updatedAt': '2020/08/14 09:35:00', 'images': {'symbol': 'https://images.pokemontcg.io/pop3/symbol.png', 'logo': 'https://images.pokemontcg.io/pop3/logo.png'}}",1,Mitsuhiro Arita,Rare,[9],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/pop3/1.png', 'large': 'https://images.pokemontcg.io/pop3/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/pop3-1', 'updatedAt': '2021/05/13', 'prices': {'normal': {'low': 12.0, 'mid': 13.1, 'high': 99.95, 'market': 13.0, 'directLow': None}, 'holofoil': {'low': 66.9, 'mid': 70.01, 'high': 75.0, 'market': 27.5, 'directLow': None}}}",,,,,,
9,mcd19-4,Alolan Sandshrew,Pokémon,['Basic'],60,['Water'],,,"[{'cost': [], 'name': 'Fury Swipes', 'text': 'Flip 3 coins. This attack does 10 damage for each heads.', 'damage': '10', 'convertedEnergyCost': 0}]",,['Colorless'],1.0,"{'id': 'mcd19', 'name': ""McDonald's Collection 2019"", 'series': 'Other', 'printedTotal': 12, 'total': 12, 'legalities': {'unlimited': 'Legal'}, 'releaseDate': '2019/10/15', 'updatedAt': '2020/11/11 13:00:00', 'images': {'symbol': 'https://images.pokemontcg.io/mcd19/symbol.png', 'logo': 'https://images.pokemontcg.io/mcd19/logo.png'}}",4,Shin Nagasawa,Promo,[27],{'unlimited': 'Legal'},"{'small': 'https://images.pokemontcg.io/mcd19/4.png', 'large': 'https://images.pokemontcg.io/mcd19/4_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/mcd19-4', 'updatedAt': '2021/05/13', 'prices': {'holofoil': {'low': 3.0, 'mid': 3.57, 'high': 5.5, 'market': 3.18, 'directLow': None}}}",,,,['Sandslash'],,
